Id,Frame,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,2607.1158,312.1293,108.805981271309,3000,500,8
2,1,2898.5342,891.1943,108.805981271309,3000,500,8
3,1,406.35781,1750.0209,108.805981271309,3000,500,8
4,1,2922.8027,3064.0219,108.805981271309,3000,500,8
5,1,2023.5496,3087.6433,108.805981271309,3000,500,8
6,2,3003.9121,350.37401,108.805981271309,3000,500,8
7,2,249.88277,1725.0393,108.805981271309,3000,500,8
8,2,3040.8658,811.19619,108.805981271309,3000,500,8
9,2,774.76734,2673.4991,108.805981271309,3000,500,8
10,2,695.11136,315.21173,108.805981271309,3000,500,8
11,3,1040.6012,318.17178,108.805981271309,3000,500,8
12,3,2343.7651,578.6382,108.805981271309,3000,500,8
13,3,966.92835,2683.9883,108.805981271309,3000,500,8
14,3,675.64537,1081.9171,108.805981271309,3000,500,8
15,3,483.38516,2404.3515,108.805981271309,3000,500,8
16,4,2765.1743,541.53428,108.805981271309,3000,500,8
17,4,1142.8938,2033.6925,108.805981271309,3000,500,8
18,4,1125.0717,1263.1416,108.805981271309,3000,500,8
19,4,1817.2525,1352.2658,108.805981271309,3000,500,8
20,4,2722.8451,2646.6818,108.805981271309,3000,500,8
21,5,1537.7514,1300.3706,108.805981271309,3000,500,8
22,5,3101.5548,3096.348,108.805981271309,3000,500,8
23,5,2470.4268,2856.5303,108.805981271309,3000,500,8
24,5,1747.5687,1233.3101,108.805981271309,3000,500,8
25,5,74.338973,586.9058,108.805981271309,3000,500,8
26,6,2916.8851,2175.6348,108.805981271309,3000,500,8
27,6,270.80865,2981.9807,108.805981271309,3000,500,8
28,6,2374.5999,1223.6112,108.805981271309,3000,500,8
29,6,2822.2165,1328.9745,108.805981271309,3000,500,8
30,6,1400.8487,2216.2857,108.805981271309,3000,500,8
31,7,1327.9435,2571.7236,108.805981271309,3000,500,8
32,7,210.18753,1431.6546,108.805981271309,3000,500,8
33,7,132.40168,1200.3081,108.805981271309,3000,500,8
34,7,1388.3882,616.75612,108.805981271309,3000,500,8
35,7,150.17903,62.378839,108.805981271309,3000,500,8
36,8,2154.5092,2209.6761,108.805981271309,3000,500,8
37,8,2996.3428,650.2315,108.805981271309,3000,500,8
38,8,2119.2544,1649.304,108.805981271309,3000,500,8
39,8,1220.3144,1733.8857,108.805981271309,3000,500,8
40,8,1239.4873,1481.0213,108.805981271309,3000,500,8
41,9,2056.03,846.40185,108.805981271309,3000,500,8
42,9,2.9666596,294.56199,108.805981271309,3000,500,8
43,9,1053.7701,117.4254,108.805981271309,3000,500,8
44,9,1059.2738,2500.5992,108.805981271309,3000,500,8
45,9,167.93389,120.63992,108.805981271309,3000,500,8
46,10,2445.6522,3042.0952,108.805981271309,3000,500,8
47,10,2528.5934,734.61719,108.805981271309,3000,500,8
48,10,1995.3545,1443.7911,108.805981271309,3000,500,8
49,10,2550.1967,1299.3408,108.805981271309,3000,500,8
50,10,2444.185,552.13886,108.805981271309,3000,500,8
51,11,51.643025,336.88458,108.805981271309,3000,500,8
52,11,3003.0784,1993.3512,108.805981271309,3000,500,8
53,11,68.011839,1641.1911,108.805981271309,3000,500,8
54,11,511.98182,3083.8704,108.805981271309,3000,500,8
55,11,1595.1182,886.17019,108.805981271309,3000,500,8
56,12,108.1352,584.07356,108.805981271309,3000,500,8
57,12,2458.3547,264.59067,108.805981271309,3000,500,8
58,12,2569.2607,2609.3129,108.805981271309,3000,500,8
59,12,993.20702,179.82181,108.805981271309,3000,500,8
60,12,652.26245,2370.0842,108.805981271309,3000,500,8
61,13,1692.6989,1912.8913,108.805981271309,3000,500,8
62,13,73.059141,259.92455,108.805981271309,3000,500,8
63,13,2093.1791,2283.2078,108.805981271309,3000,500,8
64,13,1591.7228,1147.081,108.805981271309,3000,500,8
65,13,2706.0219,885.29794,108.805981271309,3000,500,8
66,14,1377.5323,2743.0104,108.805981271309,3000,500,8
67,14,3081.705,792.46145,108.805981271309,3000,500,8
68,14,2916.3249,49.749977,108.805981271309,3000,500,8
69,14,1193.9562,1771.4457,108.805981271309,3000,500,8
70,14,2116.1108,2940.9744,108.805981271309,3000,500,8
71,15,661.60495,622.07427,108.805981271309,3000,500,8
72,15,2174.3674,1426.2394,108.805981271309,3000,500,8
73,15,716.43393,1772.6806,108.805981271309,3000,500,8
74,15,3073.5911,456.30933,108.805981271309,3000,500,8
75,15,1668.5661,807.21405,108.805981271309,3000,500,8
76,16,1596.251,2085.5629,108.805981271309,3000,500,8
77,16,1020.225,771.8029,108.805981271309,3000,500,8
78,16,1702.7624,529.57696,108.805981271309,3000,500,8
79,16,848.44773,412.10606,108.805981271309,3000,500,8
80,16,1632.133,1458.0496,108.805981271309,3000,500,8
81,17,2045.7608,3159.1571,108.805981271309,3000,500,8
82,17,1094.3074,631.50528,108.805981271309,3000,500,8
83,17,3199.6629,1852.2442,108.805981271309,3000,500,8
84,17,603.53946,2010.2113,108.805981271309,3000,500,8
85,17,951.93272,2192.3895,108.805981271309,3000,500,8
86,18,3014.1543,1883.6246,108.805981271309,3000,500,8
87,18,788.49309,1207.4091,108.805981271309,3000,500,8
88,18,1859.854,1572.2514,108.805981271309,3000,500,8
89,18,635.40203,1158.9611,108.805981271309,3000,500,8
90,18,648.3406,2034.299,108.805981271309,3000,500,8
